,Price,Clarity,City
173,842,2-Very slightly included,Amsterdam
174,749,2-Very slightly included,Tel Aviv
175,1813,2-Very slightly included,Kimberly
176,1627,2-Very slightly included,Kimberly
177,11416,3-Slightly included,Surat
178,5447,2-Very slightly included,Paris
179,10581,2-Very slightly included,Las Vegas
180,499,3-Slightly included,Tel Aviv
181,610,2-Very slightly included,Antwerp
182,6055,3-Slightly included,Zurich
183,372,3-Slightly included,Kimberly
184,3344,3-Slightly included,Antwerp
185,2083,3-Slightly included,Tel Aviv
186,886,0-Internaly Flawless,Surat
187,1582,1-Very very slightly included,Luxembourg
188,3083,3-Slightly included,Surat
189,7657,1-Very very slightly included,Tel Aviv
190,527,2-Very slightly included,Las Vegas
191,2196,3-Slightly included,Madrid
192,9297,2-Very slightly included,Surat
193,13703,3-Slightly included,Madrid
194,1422,2-Very slightly included,London
195,5283,3-Slightly included,Amsterdam
196,3795,3-Slightly included,London
197,2882,3-Slightly included,Madrid
198,2208,3-Slightly included,Paris
199,558,3-Slightly included,Zurich
200,6371,3-Slightly included,Amsterdam
201,4242,3-Slightly included,Tel Aviv
202,506,3-Slightly included,Surat
203,487,2-Very slightly included,London
204,1227,3-Slightly included,Kimberly
205,1232,2-Very slightly included,Surat
206,2153,1-Very very slightly included,Zurich
207,447,3-Slightly included,Kimberly
208,1398,3-Slightly included,Kimberly
209,1241,1-Very very slightly included,Zurich
210,14749,2-Very slightly included,Kimberly
211,2845,2-Very slightly included,Surat
212,12207,1-Very very slightly included,New York City
213,4095,3-Slightly included,Luxembourg
214,5722,3-Slightly included,Kimberly
215,7964,2-Very slightly included,Antwerp
216,1035,3-Slightly included,London
217,7744,2-Very slightly included,Surat
218,1061,0-Internaly Flawless,Las Vegas
219,845,2-Very slightly included,Amsterdam
220,544,2-Very slightly included,Madrid
221,14578,2-Very slightly included,Surat
222,2964,4-Included,Amsterdam
223,5821,2-Very slightly included,Las Vegas
224,6028,2-Very slightly included,Luxembourg
225,608,2-Very slightly included,Dubai
226,658,2-Very slightly included,Paris
227,7492,1-Very very slightly included,Kimberly
228,1092,2-Very slightly included,Antwerp
229,462,3-Slightly included,Surat
230,435,2-Very slightly included,Amsterdam
231,1646,3-Slightly included,London
232,523,3-Slightly included,Tel Aviv
233,710,2-Very slightly included,Kimberly
234,1230,1-Very very slightly included,Surat
235,621,2-Very slightly included,Antwerp
236,2895,2-Very slightly included,London
237,707,1-Very very slightly included,Las Vegas
238,1995,2-Very slightly included,Antwerp
239,952,2-Very slightly included,Surat
240,5622,3-Slightly included,Kimberly
241,4150,0-Internaly Flawless,Paris
242,3634,3-Slightly included,Zurich
243,4844,3-Slightly included,Surat
244,4177,3-Slightly included,Dubai
245,576,1-Very very slightly included,Luxembourg
246,5347,2-Very slightly included,Kimberly
247,7708,1-Very very slightly included,Paris
248,4173,3-Slightly included,Antwerp
249,10144,2-Very slightly included,Dubai
250,2351,3-Slightly included,Luxembourg
251,2487,2-Very slightly included,Surat
252,4407,1-Very very slightly included,Kimberly
253,12255,1-Very very slightly included,Antwerp
254,5506,3-Slightly included,Antwerp
255,2896,1-Very very slightly included,Zurich
256,6149,3-Slightly included,New York City
257,8693,1-Very very slightly included,New York City
258,1608,2-Very slightly included,Paris
259,1885,3-Slightly included,Las Vegas
260,3638,3-Slightly included,Surat
261,8693,2-Very slightly included,Kimberly
262,5077,3-Slightly included,Antwerp
263,5161,3-Slightly included,Zurich
264,641,2-Very slightly included,Kimberly
265,5439,2-Very slightly included,Antwerp
266,1720,3-Slightly included,Surat
267,942,3-Slightly included,Paris
268,9625,2-Very slightly included,Amsterdam
269,918,0-Internaly Flawless,New York City
270,807,2-Very slightly included,Antwerp
271,4454,3-Slightly included,Madrid
272,668,2-Very slightly included,London
273,2956,2-Very slightly included,Paris
274,900,2-Very slightly included,London
275,17476,3-Slightly included,Antwerp
276,645,2-Very slightly included,Las Vegas
277,3246,3-Slightly included,London
278,7781,2-Very slightly included,Tel Aviv
279,907,1-Very very slightly included,Las Vegas
280,5241,2-Very slightly included,Antwerp
281,984,2-Very slightly included,Surat
282,586,3-Slightly included,Dubai
283,14659,3-Slightly included,Surat
284,1668,3-Slightly included,Kimberly
285,2211,0-Internaly Flawless,Kimberly
286,1622,2-Very slightly included,Amsterdam
287,3380,1-Very very slightly included,Zurich
288,1401,2-Very slightly included,Paris
289,764,1-Very very slightly included,Las Vegas
290,3041,2-Very slightly included,New York City
291,917,1-Very very slightly included,Kimberly
292,2611,3-Slightly included,Kimberly
293,810,1-Very very slightly included,New York City
294,4616,3-Slightly included,Surat
295,717,1-Very very slightly included,Surat
296,14256,2-Very slightly included,London
297,6058,2-Very slightly included,Kimberly
298,1129,0-Internaly Flawless,Paris
299,2134,3-Slightly included,Kimberly
300,873,0-Internaly Flawless,Dubai
301,5529,3-Slightly included,Luxembourg
302,2487,1-Very very slightly included,Kimberly
303,1443,2-Very slightly included,Kimberly
304,16921,2-Very slightly included,Antwerp
305,792,3-Slightly included,Madrid
306,780,1-Very very slightly included,Tel Aviv
307,3972,1-Very very slightly included,London
308,1015,3-Slightly included,Amsterdam
309,871,0-Internaly Flawless,Tel Aviv
310,11650,3-Slightly included,Tel Aviv
311,6709,2-Very slightly included,New York City
312,2054,3-Slightly included,Dubai
313,4304,3-Slightly included,Antwerp
314,651,2-Very slightly included,Dubai
315,1114,1-Very very slightly included,Madrid
316,7722,2-Very slightly included,Amsterdam
317,10255,3-Slightly included,Antwerp
318,666,2-Very slightly included,Madrid
319,7345,2-Very slightly included,Kimberly
320,702,3-Slightly included,Kimberly
321,4624,3-Slightly included,Paris
322,3226,2-Very slightly included,Kimberly
323,730,1-Very very slightly included,Zurich
324,1002,2-Very slightly included,Tel Aviv
325,2523,3-Slightly included,Luxembourg
326,10688,3-Slightly included,Paris
327,16337,3-Slightly included,Zurich
328,3752,3-Slightly included,Surat
329,4316,3-Slightly included,Zurich
330,8870,2-Very slightly included,Dubai
331,2946,1-Very very slightly included,Madrid
332,3002,3-Slightly included,Paris
333,4883,3-Slightly included,Dubai
334,598,2-Very slightly included,Amsterdam
335,1813,2-Very slightly included,Surat
336,3276,3-Slightly included,London
337,1294,2-Very slightly included,London
338,803,3-Slightly included,Surat
339,658,2-Very slightly included,Surat
340,6666,2-Very slightly included,Tel Aviv
341,6738,3-Slightly included,Antwerp
342,819,2-Very slightly included,Surat
343,12257,3-Slightly included,Kimberly
344,882,3-Slightly included,Dubai
345,663,2-Very slightly included,New York City
346,3423,3-Slightly included,Las Vegas
347,2096,0-Internaly Flawless,Surat
348,758,2-Very slightly included,New York City
349,15278,2-Very slightly included,Las Vegas
350,737,1-Very very slightly included,Dubai
351,7915,3-Slightly included,London
352,5206,3-Slightly included,Amsterdam
353,11380,2-Very slightly included,London
354,2813,3-Slightly included,Dubai
355,2862,3-Slightly included,Zurich
356,571,3-Slightly included,Luxembourg
357,2858,2-Very slightly included,Antwerp
358,7308,2-Very slightly included,Zurich
359,565,3-Slightly included,Las Vegas
360,846,1-Very very slightly included,Paris
361,5485,3-Slightly included,Luxembourg
362,716,2-Very slightly included,Tel Aviv
363,5077,3-Slightly included,Kimberly
364,3126,1-Very very slightly included,Dubai
365,4400,2-Very slightly included,Surat
366,1298,2-Very slightly included,Madrid
367,4592,2-Very slightly included,Kimberly
368,14236,1-Very very slightly included,Tel Aviv
369,1163,3-Slightly included,Antwerp
370,6036,3-Slightly included,Madrid
371,13996,3-Slightly included,Antwerp
372,904,2-Very slightly included,New York City
373,2059,3-Slightly included,Antwerp
374,3294,3-Slightly included,Antwerp
375,1341,3-Slightly included,Tel Aviv
376,4508,2-Very slightly included,London
377,2376,3-Slightly included,New York City
378,1095,0-Internaly Flawless,London
379,967,1-Very very slightly included,Madrid
380,485,1-Very very slightly included,London
381,5599,3-Slightly included,Antwerp
382,3669,3-Slightly included,Zurich
383,878,2-Very slightly included,Kimberly
384,1914,3-Slightly included,Luxembourg
385,1262,3-Slightly included,Tel Aviv
386,5646,3-Slightly included,Tel Aviv
387,945,3-Slightly included,Surat
388,9414,2-Very slightly included,Luxembourg
389,1244,3-Slightly included,Dubai
390,1059,1-Very very slightly included,London
391,5624,3-Slightly included,Kimberly
392,3481,3-Slightly included,Zurich
393,3003,1-Very very slightly included,Dubai
394,3853,3-Slightly included,London
395,3332,2-Very slightly included,Las Vegas
396,1052,0-Internaly Flawless,Paris
397,1593,3-Slightly included,Zurich
398,9039,0-Internaly Flawless,Tel Aviv
399,4340,3-Slightly included,Dubai
400,8067,2-Very slightly included,Surat
401,2456,1-Very very slightly included,Paris
402,3454,3-Slightly included,Antwerp
403,4133,2-Very slightly included,New York City
404,734,2-Very slightly included,Madrid
405,3153,3-Slightly included,Dubai
406,1218,2-Very slightly included,Amsterdam
407,545,2-Very slightly included,London
408,2693,2-Very slightly included,Dubai
409,842,1-Very very slightly included,London
410,1733,0-Internaly Flawless,New York City
411,665,1-Very very slightly included,Antwerp
412,832,1-Very very slightly included,Paris
413,18115,3-Slightly included,Madrid
414,1244,2-Very slightly included,Tel Aviv
415,1857,2-Very slightly included,London
416,2897,1-Very very slightly included,New York City
417,2863,2-Very slightly included,New York City
418,709,3-Slightly included,Dubai
419,4368,3-Slightly included,Paris
420,4370,3-Slightly included,Paris
421,2453,3-Slightly included,Paris
422,1153,2-Very slightly included,Antwerp
423,1333,1-Very very slightly included,Zurich
424,1828,3-Slightly included,London
425,6777,2-Very slightly included,Surat
426,10317,1-Very very slightly included,Kimberly
427,1273,3-Slightly included,Paris
428,625,2-Very slightly included,Paris
429,6301,2-Very slightly included,Surat
430,1141,3-Slightly included,Luxembourg
431,552,3-Slightly included,London
432,876,3-Slightly included,Madrid
433,2624,3-Slightly included,Las Vegas
434,1235,1-Very very slightly included,Kimberly
435,1967,3-Slightly included,Antwerp
436,779,1-Very very slightly included,Amsterdam
437,920,2-Very slightly included,Paris
438,1064,0-Internaly Flawless,Antwerp
439,1397,1-Very very slightly included,Dubai
440,936,1-Very very slightly included,Paris
441,12738,3-Slightly included,Dubai
442,16319,3-Slightly included,London
443,5040,2-Very slightly included,Kimberly
444,1271,0-Internaly Flawless,New York City
445,4565,3-Slightly included,Amsterdam
446,3999,3-Slightly included,Tel Aviv
447,8414,2-Very slightly included,Las Vegas
448,6794,2-Very slightly included,Dubai
449,1240,3-Slightly included,Antwerp
450,10519,3-Slightly included,Antwerp
451,914,0-Internaly Flawless,Zurich
452,1841,2-Very slightly included,Kimberly
453,622,1-Very very slightly included,London
454,16431,3-Slightly included,Kimberly
455,5353,3-Slightly included,Paris
456,2224,3-Slightly included,Dubai
457,6097,2-Very slightly included,London
458,999,2-Very slightly included,Madrid
459,5446,3-Slightly included,Kimberly
460,4295,3-Slightly included,Dubai
461,589,1-Very very slightly included,Surat
462,789,1-Very very slightly included,Kimberly
463,10512,1-Very very slightly included,London
464,926,1-Very very slightly included,Paris
465,3131,2-Very slightly included,Zurich
466,1167,0-Internaly Flawless,New York City
467,5068,2-Very slightly included,Tel Aviv
468,5842,3-Slightly included,Luxembourg
469,396,2-Very slightly included,Surat
470,984,3-Slightly included,Dubai
471,1815,2-Very slightly included,Paris
472,684,1-Very very slightly included,Zurich
473,605,2-Very slightly included,Madrid
474,5113,3-Slightly included,Las Vegas
475,694,0-Internaly Flawless,Luxembourg
476,2136,3-Slightly included,Zurich
477,594,2-Very slightly included,Tel Aviv
478,7362,3-Slightly included,Antwerp
479,1357,3-Slightly included,Zurich
480,664,1-Very very slightly included,Madrid
481,4205,3-Slightly included,Madrid
482,660,3-Slightly included,Tel Aviv
483,5491,3-Slightly included,Surat
484,568,2-Very slightly included,Madrid
485,4641,3-Slightly included,Surat
486,7665,2-Very slightly included,New York City
487,8580,3-Slightly included,Dubai
488,2608,4-Included,Kimberly
489,2777,3-Slightly included,Luxembourg
490,733,3-Slightly included,Las Vegas
491,8602,2-Very slightly included,Dubai
492,743,2-Very slightly included,Las Vegas
493,706,3-Slightly included,New York City
494,1918,3-Slightly included,Amsterdam
495,6332,2-Very slightly included,Paris
496,3557,2-Very slightly included,Surat
497,1333,1-Very very slightly included,Tel Aviv
498,7130,2-Very slightly included,New York City
499,9384,3-Slightly included,Paris
500,5759,3-Slightly included,Dubai
501,13156,4-Included,New York City
502,847,2-Very slightly included,Luxembourg
503,1963,1-Very very slightly included,New York City
504,7987,3-Slightly included,Antwerp
505,666,3-Slightly included,Paris
506,3189,3-Slightly included,Surat
507,628,2-Very slightly included,Zurich
508,1148,0-Internaly Flawless,Las Vegas
509,14112,2-Very slightly included,Dubai
510,342,3-Slightly included,Antwerp
511,5206,2-Very slightly included,Kimberly
512,2200,3-Slightly included,Kimberly
513,2797,2-Very slightly included,Tel Aviv
514,6564,4-Included,Zurich
515,3162,2-Very slightly included,Surat
516,2454,1-Very very slightly included,Kimberly
517,1415,3-Slightly included,Surat
518,4405,3-Slightly included,Surat
519,1712,2-Very slightly included,Madrid
520,1591,3-Slightly included,Las Vegas
521,3180,1-Very very slightly included,Zurich
522,3464,2-Very slightly included,Tel Aviv
523,5851,3-Slightly included,London
524,574,3-Slightly included,Amsterdam
525,2055,2-Very slightly included,Antwerp
526,798,1-Very very slightly included,Kimberly
527,3696,4-Included,Kimberly
528,754,2-Very slightly included,Paris
529,1153,2-Very slightly included,Las Vegas
530,4355,2-Very slightly included,Antwerp
531,4642,3-Slightly included,Las Vegas
532,1851,2-Very slightly included,Surat
533,764,1-Very very slightly included,Tel Aviv
534,561,2-Very slightly included,Surat
535,4379,3-Slightly included,Kimberly
536,947,3-Slightly included,Kimberly
537,6532,2-Very slightly included,Amsterdam
538,3763,3-Slightly included,Surat
539,3301,2-Very slightly included,Tel Aviv
540,5993,2-Very slightly included,Tel Aviv
541,1719,2-Very slightly included,Madrid
542,625,2-Very slightly included,New York City
543,4832,3-Slightly included,Amsterdam
544,1007,2-Very slightly included,Luxembourg
545,2611,4-Included,Surat
546,12059,1-Very very slightly included,London
547,3662,3-Slightly included,Zurich
548,4437,3-Slightly included,Surat
549,13761,2-Very slightly included,New York City
550,487,2-Very slightly included,Amsterdam
551,3160,3-Slightly included,Madrid
552,10914,3-Slightly included,Antwerp
553,454,2-Very slightly included,Antwerp
554,5607,3-Slightly included,Antwerp
555,1241,1-Very very slightly included,Luxembourg
556,767,2-Very slightly included,Luxembourg
557,4181,3-Slightly included,London
558,504,1-Very very slightly included,Surat
559,8743,1-Very very slightly included,Paris
560,4637,2-Very slightly included,London
561,4875,3-Slightly included,Dubai
562,1628,2-Very slightly included,Madrid
563,6189,2-Very slightly included,Luxembourg
564,2016,3-Slightly included,Antwerp
565,4304,3-Slightly included,Luxembourg
566,608,3-Slightly included,Antwerp
567,3199,4-Included,Kimberly
568,6302,2-Very slightly included,Paris
569,6436,4-Included,New York City
570,561,2-Very slightly included,Surat
571,1173,3-Slightly included,Las Vegas
572,2276,2-Very slightly included,Surat
573,2610,3-Slightly included,Dubai
574,2973,2-Very slightly included,Paris
575,3612,3-Slightly included,Surat
576,1084,1-Very very slightly included,Tel Aviv
577,555,2-Very slightly included,Madrid
578,1294,2-Very slightly included,Paris
579,17989,3-Slightly included,Antwerp
580,11390,3-Slightly included,Luxembourg
581,1583,2-Very slightly included,Kimberly
582,2115,2-Very slightly included,London
583,1561,3-Slightly included,Zurich
584,4972,2-Very slightly included,Paris
585,2423,3-Slightly included,New York City
586,3749,3-Slightly included,Luxembourg
587,2670,3-Slightly included,New York City
588,615,2-Very slightly included,Antwerp
589,559,2-Very slightly included,Madrid
590,2861,1-Very very slightly included,Amsterdam
591,9058,3-Slightly included,Kimberly
592,4427,3-Slightly included,Dubai
593,5293,3-Slightly included,Kimberly
594,790,1-Very very slightly included,Surat
595,2454,2-Very slightly included,London
596,956,0-Internaly Flawless,Zurich
597,3024,2-Very slightly included,Madrid
598,767,2-Very slightly included,Antwerp
599,1112,2-Very slightly included,Las Vegas
600,781,2-Very slightly included,Madrid
601,3388,3-Slightly included,Dubai
602,693,3-Slightly included,Surat
603,5967,2-Very slightly included,London
604,421,3-Slightly included,Dubai
605,5542,3-Slightly included,Madrid
606,7775,3-Slightly included,Antwerp
607,988,1-Very very slightly included,Madrid
608,1007,2-Very slightly included,Luxembourg
609,605,2-Very slightly included,Antwerp
610,5669,3-Slightly included,Madrid
611,625,3-Slightly included,Madrid
612,866,2-Very slightly included,Luxembourg
613,1619,3-Slightly included,London
614,2624,3-Slightly included,Zurich
615,955,1-Very very slightly included,Zurich
616,7370,2-Very slightly included,Tel Aviv
617,6586,2-Very slightly included,New York City
618,18795,2-Very slightly included,Kimberly
619,7108,1-Very very slightly included,Amsterdam
620,1813,2-Very slightly included,Kimberly
621,458,1-Very very slightly included,Antwerp
622,599,3-Slightly included,Surat
623,2618,3-Slightly included,Paris
624,3575,3-Slightly included,Madrid
625,5051,3-Slightly included,Dubai
626,982,2-Very slightly included,Madrid
627,5430,3-Slightly included,London
628,15688,2-Very slightly included,London
629,904,3-Slightly included,London
630,2834,3-Slightly included,Kimberly
631,1193,3-Slightly included,Surat
632,1865,1-Very very slightly included,Las Vegas
633,18709,3-Slightly included,Tel Aviv
634,959,0-Internaly Flawless,Tel Aviv
635,665,1-Very very slightly included,Surat
636,7277,2-Very slightly included,Las Vegas
637,2475,3-Slightly included,Kimberly
638,702,2-Very slightly included,Luxembourg
639,7414,3-Slightly included,Dubai
640,6343,3-Slightly included,Antwerp
641,713,2-Very slightly included,Madrid
642,17761,2-Very slightly included,Madrid
643,720,2-Very slightly included,Luxembourg
644,5812,3-Slightly included,Antwerp
645,504,2-Very slightly included,Amsterdam
646,9467,2-Very slightly included,Amsterdam
647,1009,2-Very slightly included,Surat
648,1052,1-Very very slightly included,Dubai
649,561,1-Very very slightly included,Dubai
650,4633,3-Slightly included,Kimberly
651,5882,2-Very slightly included,Surat
652,1817,2-Very slightly included,London
653,8637,2-Very slightly included,Kimberly
654,10283,1-Very very slightly included,Luxembourg
655,5839,2-Very slightly included,London
656,982,2-Very slightly included,Surat
657,4620,3-Slightly included,Dubai
658,2241,2-Very slightly included,Amsterdam
659,2753,2-Very slightly included,Luxembourg
660,4641,3-Slightly included,London
661,6606,2-Very slightly included,Las Vegas
662,844,2-Very slightly included,Luxembourg
663,2274,2-Very slightly included,Dubai
664,2030,2-Very slightly included,Zurich
665,15433,3-Slightly included,Amsterdam
666,4435,3-Slightly included,Amsterdam
667,447,2-Very slightly included,Madrid
668,5224,3-Slightly included,Antwerp
669,574,3-Slightly included,London
670,4381,2-Very slightly included,Zurich
671,791,3-Slightly included,Dubai
672,601,2-Very slightly included,Las Vegas
673,6905,3-Slightly included,Tel Aviv
674,2352,3-Slightly included,Madrid
675,5027,3-Slightly included,Amsterdam
676,1056,0-Internaly Flawless,Antwerp
677,684,1-Very very slightly included,Zurich
678,9478,2-Very slightly included,Luxembourg
679,724,1-Very very slightly included,Antwerp
680,844,0-Internaly Flawless,Dubai
681,3599,3-Slightly included,Paris
682,1014,1-Very very slightly included,Antwerp
683,2050,2-Very slightly included,New York City
684,2569,3-Slightly included,London
685,1678,2-Very slightly included,Surat
686,2695,2-Very slightly included,Las Vegas
687,7063,2-Very slightly included,Madrid
688,4246,2-Very slightly included,Zurich
689,7324,2-Very slightly included,Antwerp
690,2155,3-Slightly included,Dubai
691,5111,3-Slightly included,Antwerp
692,911,1-Very very slightly included,Kimberly
693,1858,1-Very very slightly included,Paris
694,9104,3-Slightly included,Paris
695,6543,2-Very slightly included,Antwerp
696,10947,3-Slightly included,Madrid
697,3112,2-Very slightly included,Kimberly
698,780,3-Slightly included,Tel Aviv
699,4077,3-Slightly included,Las Vegas
700,4184,0-Internaly Flawless,Antwerp
701,1323,1-Very very slightly included,Kimberly
702,943,2-Very slightly included,Antwerp
703,1694,2-Very slightly included,London
704,4639,3-Slightly included,Tel Aviv
705,1957,2-Very slightly included,Kimberly
706,1939,4-Included,Kimberly
707,10076,2-Very slightly included,Kimberly
708,12833,2-Very slightly included,Surat
709,5557,3-Slightly included,Paris
710,765,3-Slightly included,New York City
711,936,2-Very slightly included,Antwerp
712,3471,2-Very slightly included,New York City
713,2555,3-Slightly included,Madrid
714,1041,2-Very slightly included,Amsterdam
715,3605,2-Very slightly included,Paris
716,2348,3-Slightly included,Antwerp
717,1094,3-Slightly included,Zurich
718,1214,3-Slightly included,Las Vegas
719,1240,0-Internaly Flawless,Antwerp
720,1709,2-Very slightly included,Madrid
721,1419,0-Internaly Flawless,Tel Aviv
722,6710,2-Very slightly included,New York City
723,2105,1-Very very slightly included,Tel Aviv
724,3880,2-Very slightly included,London
725,2256,3-Slightly included,London
726,2932,1-Very very slightly included,Surat
727,1080,1-Very very slightly included,Madrid
728,10302,2-Very slightly included,Surat
729,604,3-Slightly included,New York City
730,686,2-Very slightly included,Surat
731,630,2-Very slightly included,Paris
732,2958,2-Very slightly included,Antwerp
733,11815,2-Very slightly included,Surat
734,3011,2-Very slightly included,Surat
735,1000,3-Slightly included,Kimberly
736,1111,3-Slightly included,Dubai
737,1053,0-Internaly Flawless,Kimberly
738,1722,2-Very slightly included,Luxembourg
739,698,2-Very slightly included,Las Vegas
740,660,3-Slightly included,Luxembourg
741,463,2-Very slightly included,Surat
742,904,3-Slightly included,Kimberly
743,1245,1-Very very slightly included,Antwerp
744,4250,3-Slightly included,Amsterdam
